NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Study Type
NCT07100054,Pharmacogenomic and Circulating Biomarkers for CDK4/6 Inhibitors,https://clinicaltrials.gov/study/NCT07100054,NOT_YET_RECRUITING,"CDK4/6 Inhibitor|Breast Cancer|CYP3A4 Protein, Human|Drug Interaction|Pharmacogenetic Testing",GENETIC: Whole gene sequencing|OTHER: Drug-drug interaction analysis|OTHER: Biomarker analysis,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,,FEMALE,OBSERVATIONAL
NCT07100041,Use of Breathing Exercises and Stress Balls During Dressing Changes in Burn Patients,https://clinicaltrials.gov/study/NCT07100041,NOT_YET_RECRUITING,Anxiety|Breathing Exercise|Burns (Physical Finding)|Pain|Pain Management|Stress Ball,OTHER: Breathing Exercise Group|OTHER: Stress Ball Group|OTHER: Control (Standard Treatment) Group,Hasan Kalyoncu University,,ALL,INTERVENTIONAL
NCT07100028,Hall Technique vs Conventional Technique in Permanent Teeth,https://clinicaltrials.gov/study/NCT07100028,NOT_YET_RECRUITING,Dental Caries|Crowned Posterior Teeth,OTHER: SSC crown with Hall technique|OTHER: SSC with conventional technique,Hacettepe University,,ALL,INTERVENTIONAL
NCT07100015,The Effect of Shoulder Massage and Therapeutic Touch on Pain and Anxiety After Laparoscopic Cholecystectomy,https://clinicaltrials.gov/study/NCT07100015,COMPLETED,Massage Therapy|Pain|Anxiety|Theropathic Touch,DEVICE: Control Group|DEVICE: therapeutic touch|DEVICE: Shoulder massage,Giresun University,,ALL,INTERVENTIONAL
NCT07100002,Comparing the Efficacy of Earplugs and Eye Masks on Pain and Sleep Quality,https://clinicaltrials.gov/study/NCT07100002,COMPLETED,Sleep Quality|Pain|Intensive Care Medicine|Cardiac Surgery,DEVICE: Control Group|DEVICE: Earplug Group|DEVICE: Eye mask Group,Giresun University,,ALL,INTERVENTIONAL
NCT07099989,Pharmacokinetics of GATE-251 in Fasted or Fed State,https://clinicaltrials.gov/study/NCT07099989,RECRUITING,Healthy Volunteers in Fed and Fasted State,DRUG: Zelquistinel 3 mg|DRUG: Zelquistinel 10 mg,"Gate Neurosciences, Inc",Dr. Vince Clinical Research,ALL,INTERVENTIONAL
NCT07099976,PromotIng Optimal Treatment for Community-acquired PNeumonia in EmErgency Rooms,https://clinicaltrials.gov/study/NCT07099976,NOT_YET_RECRUITING,Community-Acquired Pneumonia (CAP)|Pneumonia,DIAGNOSTIC_TEST: The novel care pathway intervention|OTHER: Usual Care Alone,Jeffrey,,ALL,INTERVENTIONAL
NCT07099963,"Frequency and Severity of Respiratory Acidosis During One-lung Ventilation, a Retrospective Pilot Study to Compare Clinician Settings and Those Proposed by the VentilO Application",https://clinicaltrials.gov/study/NCT07099963,NOT_YET_RECRUITING,Thoracic|Surgery|Mechanical Ventilation|Hypercapnia|Acidosis|One Lung Ventillation (OLV)|Smartphone Application,OTHER: one lung ventilation,Laval University,,ALL,OBSERVATIONAL
NCT07099950,Dose-Dependent Effects of Low-Intensity Focused Ultrasound,https://clinicaltrials.gov/study/NCT07099950,RECRUITING,Healthy Controls,OTHER: Low-intensity focused ultrasound,"Laureate Institute for Brain Research, Inc.",,ALL,INTERVENTIONAL
NCT07099937,Relationship Between Thyroid Dysfunction and Diabetes,https://clinicaltrials.gov/study/NCT07099937,NOT_YET_RECRUITING,Type 2 Diabetes Mellitus (T2DM)|Thyroid Dysfunction|Metabolic Syndrome|Upper Egypt Patients,OTHER: Observational cross-sectional study with no intervention.,Assiut University,,ALL,OBSERVATIONAL
NCT07099924,Rectus Sheath Catheters Following Midline Laparotomy,https://clinicaltrials.gov/study/NCT07099924,NOT_YET_RECRUITING,Acute Abdomen|Ileus|Colorectal Carcinoma,DRUG: Ropivacaine 0.2%|DRUG: Saline 0.9%,Asklepios Kliniken Hamburg GmbH,,ALL,INTERVENTIONAL
NCT07099911,Neuromuscular Electrical Stimulation and Glucose Control in Spinal Cord Injury,https://clinicaltrials.gov/study/NCT07099911,RECRUITING,Spinal Cord Injury,BEHAVIORAL: NMES|BEHAVIORAL: Sham (No Treatment),University of Bath,University of Birmingham,ALL,INTERVENTIONAL
NCT07099898,A Study of GSK5764227 in Participants With Relapsed Small Cell Lung Cancer (SCLC),https://clinicaltrials.gov/study/NCT07099898,NOT_YET_RECRUITING,"Neoplasms, Lung",BIOLOGICAL: GSK5764227|DRUG: Topotecan,GlaxoSmithKline,,ALL,INTERVENTIONAL
NCT07099885,Simple Urine Composition-based Personalized Algorithm for Effective Congestion Relief in Decompensated Heart Failure,https://clinicaltrials.gov/study/NCT07099885,NOT_YET_RECRUITING,"Acute Heart Failure (AHF)|Congestion, Venous",DIAGNOSTIC_TEST: Standard of Care (SOC)|DIAGNOSTIC_TEST: Algorithhm-based decongestion,Wroclaw Medical University,,ALL,INTERVENTIONAL
NCT07099872,Chronic Exercise With Overdressing,https://clinicaltrials.gov/study/NCT07099872,COMPLETED,Heat Acclimation and Thermotolerance,OTHER: Control|OTHER: Overdressing,United States Army Research Institute of Environmental Medicine,,ALL,INTERVENTIONAL
NCT07099859,Effect of Losartan on the Neurohumoral Axis and Ventricular Remodeling of Patients With Severe Aortic Regurgitation Undergoing Valve Surgery.,https://clinicaltrials.gov/study/NCT07099859,RECRUITING,"Heart Valve Diseases|Left Ventricle Remodeling|Aortic Regurgitation Disease|Heart Failure Congestive|Natriuretic Peptide, Brain",DRUG: Losartan 50 mg|DRUG: Placebo,Vitor Emer Egypto Rosa,Fundação de Amparo à Pesquisa do Estado de São Paulo,ALL,INTERVENTIONAL
NCT07099846,Hyaluronic Acid and Polynucleotides in Ridge Preservation,https://clinicaltrials.gov/study/NCT07099846,RECRUITING,Socket Preservation|Implant-supported Single Crowns|Hyaluronic Acid|CAD-CAM,DEVICE: regeneration of post extraction socket with biomaterials,University of Parma,Geistlich Pharma AG,ALL,INTERVENTIONAL
NCT07099833,Aetiology and Pattern of 122 Patients With Mandibular Condylar Fracture,https://clinicaltrials.gov/study/NCT07099833,COMPLETED,Mandibular Fractures|Facial Injuries,OTHER: Azita Sadeghzade,Azita Sadeghzade,,ALL,OBSERVATIONAL
NCT07099820,Role of Indexed Oxygen Delivery in Anastomotic Insufficiencies in Elective Laparoscopic Colorectal Resections for Cancer,https://clinicaltrials.gov/study/NCT07099820,RECRUITING,"Anastomosis; Complications|Anastomosis, Surgical|Anastomosis, Leaking|Anastomotic Leaks|Anastomotic Failure of Flap|Anastomotic Leak Large Intestine|Anastomotic Complication|Anastomotic Dehiscence in Colorectal Surgery|Anastomotic Leakage in Colon Surgery|Oxygen Delivery|Oxygen Delivery (DO2)",,Saint Camillus International University of Health Sciences,,ALL,OBSERVATIONAL
NCT07099807,Carbohydrate Mouth Rinsing and Cognitive Response During Exercise,https://clinicaltrials.gov/study/NCT07099807,COMPLETED,Exercise Performance of Fit Athletes,BEHAVIORAL: Carbohydrate Mouth Rinse|BEHAVIORAL: Placebo Mouth Rinse|BEHAVIORAL: Music Listening,CHA University,,ALL,INTERVENTIONAL
